user_id,user_verified_type,weibo_type,fans_type,repost_type,like_type,comment_type
2519828022,1,1,0,0,1,0
2521498134,1,1,0,0,1,0
2556793530,1,1,0,0,1,0
2569691550,1,1,0,0,1,0
2588693210,0,1,0,0,1,0
2597221413,1,1,0,0,1,0
2607762887,1,1,0,0,1,0
2608234633,1,1,0,0,1,0
2608424991,1,1,0,0,1,0
2611542215,1,1,0,0,1,0
2611745583,1,1,0,0,1,0
2618059445,1,1,0,0,1,0
2620640457,1,1,0,0,1,0
2628387645,1,1,0,0,1,0
2642563891,1,1,0,0,1,0
2645377570,1,1,0,0,1,0
2645433760,1,1,0,0,1,0
2657633095,1,1,0,0,1,0
2695983121,1,1,0,0,1,0
2730258260,1,1,0,0,1,0
2751632824,1,1,0,0,1,0
2758910782,0,1,0,0,1,0
2768491503,1,1,0,0,1,0
2797392924,1,1,0,0,1,0
2859779284,1,1,0,0,1,0
2880487990,1,1,0,0,1,0
3008419144,1,1,0,0,1,0
3095407667,0,1,0,0,1,0
3141957514,1,1,0,0,1,0
3148622000,1,1,0,0,1,0
3153465505,1,1,0,0,1,0
3160612662,1,1,0,0,1,0
3164800384,1,1,0,0,1,0
3198187532,0,1,0,0,1,0
3199150960,0,1,0,0,1,0
3203752832,1,1,0,0,1,0
3231942652,1,1,0,0,1,0
3241571192,1,1,0,0,1,0
3305819203,0,1,0,0,1,0
3306604430,1,1,0,0,1,0
3320159483,1,1,0,0,1,0
3439488490,0,1,0,0,1,0
3446441450,0,1,0,0,1,0
3483578150,0,1,0,0,1,0
3516574547,1,1,0,0,1,0
3525503683,1,1,0,0,1,0
3555027410,0,1,0,0,1,0
3649062440,0,1,0,0,1,0
3695637705,1,1,0,0,1,0
3697707802,1,1,0,0,1,0
3811261522,1,1,0,0,1,0
3815062128,0,1,0,0,1,0
3846489597,1,1,0,0,1,0
3871279575,1,1,0,0,1,0
3898311280,1,1,0,0,1,0
3917895981,1,1,0,0,1,0
3937606196,1,1,0,0,1,0
3947832381,1,1,0,0,1,0
3958002657,1,1,0,0,1,0
3974560125,1,1,0,0,1,0
3977480240,1,1,0,0,1,0
5048114142,1,1,0,0,1,0
5061229888,0,1,0,0,1,0
5110439722,0,1,0,0,1,0
5116298586,0,1,0,0,1,0
5132141734,1,1,0,0,1,0
5159980918,1,1,0,0,1,0
5193769886,1,1,0,0,1,0
5216680639,1,1,0,0,1,0
5227599721,0,1,0,0,1,0
5235508532,1,1,0,0,1,0
5270965851,1,1,0,0,1,0
5281187541,0,1,0,0,1,0
5367519413,1,1,0,0,1,0
5368157865,1,1,0,0,1,0
5380501825,1,1,0,0,1,0
5425985446,1,1,0,0,1,0
5456052217,0,1,0,0,1,0
5462020226,1,1,0,0,1,0
5481235003,1,1,0,0,1,0
5500200143,1,1,0,0,1,0
5500585567,1,1,0,0,1,0
5507848289,1,1,0,0,1,0
5508373096,1,1,0,0,1,0
5519731545,0,1,0,0,1,0
5597884738,0,1,0,0,1,0
5601607972,1,1,0,0,1,0
5604006570,1,1,0,0,1,0
5658305663,1,1,0,0,1,0
5699428525,1,1,0,0,1,0
5700429073,1,1,0,0,1,0
5723785084,1,1,0,0,1,0
5744314271,0,1,0,0,1,0
5898618477,1,1,0,0,1,0
5917976377,1,1,0,0,1,0
5919809464,1,1,0,0,1,0
5933738920,1,1,0,0,1,0
5934477092,1,1,0,0,1,0
5973220849,1,1,0,0,1,0
6062120883,1,1,0,0,1,0
6077989896,0,1,0,0,1,0
6085694600,0,1,0,0,1,0
6220451658,1,1,0,0,1,0
6387872863,1,1,0,0,1,0
6509799287,1,1,0,0,1,0
6526504927,1,1,0,0,1,0
6560653260,0,1,0,0,1,0
6573790884,1,1,0,0,1,0
6583477021,1,1,0,0,1,0
7036804191,1,1,0,0,1,0
7093268990,0,1,0,0,1,0
7270761810,0,1,0,0,1,0
7298319279,0,1,0,0,1,0
7300690586,0,1,0,0,1,0
7324165869,1,1,0,0,1,0
7337509043,0,1,0,0,1,0
7365943043,0,1,0,0,1,0
7437634407,1,1,0,0,1,0
7452379375,1,1,0,0,1,0
7481672007,1,1,0,0,1,0
7497875024,0,1,0,0,1,0
7498826933,0,1,0,0,1,0
7513635555,0,1,0,0,1,0
7562283887,0,1,0,0,1,0
7575728458,1,1,0,0,1,0
7593501012,1,1,0,0,1,0
1354662744,0,1,1,0,1,0
1611935011,0,1,1,0,1,0
1684790931,0,1,1,0,1,0
1714800385,0,1,1,0,1,0
1723167603,0,1,1,0,1,0
1750355192,0,1,1,0,1,0
1835473531,0,1,1,0,1,0
1841589395,0,1,1,0,1,0
1842606855,0,1,1,0,1,0
1867085277,0,1,1,0,1,0
1888018193,0,1,1,0,1,0
1906881261,0,1,1,0,1,0
1911630795,0,1,1,0,1,0
1931704477,0,1,1,0,1,0
1948637954,0,1,1,0,1,0
2003319135,1,1,1,0,1,0
2013936642,0,1,1,0,1,0
2076255252,0,1,1,0,1,0
2173096294,1,1,1,0,1,0
2175686497,0,1,1,0,1,0
2176714344,1,1,1,0,1,0
2185323034,0,1,1,0,1,0
2219513610,0,1,1,0,1,0
2259880587,0,1,1,0,1,0
2292896411,0,1,1,0,1,0
2394420684,0,1,1,0,1,0
2426325675,1,1,1,0,1,0
2641973951,1,1,1,0,1,0
2921799343,0,1,1,0,1,0
3271855994,1,1,1,0,1,0
3840902209,1,1,1,0,1,0
5049932665,1,1,1,0,1,0
5237053116,1,1,1,0,1,0
6272613173,0,1,1,0,1,0
6524418706,0,1,1,0,1,0
6524697382,0,1,1,0,1,0
6592692916,0,1,1,0,1,0
7096189920,0,1,1,0,1,0
7161158619,1,1,1,0,1,0
7529786157,0,1,1,0,1,0
1708813312,0,1,0,0,1,1
1742494605,0,1,0,0,1,1
1762279597,0,1,0,0,1,1
1806646411,0,1,0,0,1,1
1881890475,0,1,0,0,1,1
1916333694,1,1,0,0,1,1
2010313647,0,1,0,0,1,1
2015183271,0,1,0,0,1,1
2039296051,0,1,0,0,1,1
2088581551,1,1,0,0,1,1
2141964513,1,1,0,0,1,1
2213852952,1,1,0,0,1,1
2249040870,1,1,0,0,1,1
2322699152,1,1,0,0,1,1
2416967903,0,1,0,0,1,1
2453101173,1,1,0,0,1,1
2454765851,1,1,0,0,1,1
2488355117,1,1,0,0,1,1
2549711684,1,1,0,0,1,1
2801467610,1,1,0,0,1,1
2812231775,1,1,0,0,1,1
2878115484,1,1,0,0,1,1
3001986840,1,1,0,0,1,1
3217974497,1,1,0,0,1,1
3225377512,1,1,0,0,1,1
3242158197,0,1,0,0,1,1
3256052093,1,1,0,0,1,1
3355021510,1,1,0,0,1,1
3357984530,1,1,0,0,1,1
3359245562,1,1,0,0,1,1
3379498974,1,1,0,0,1,1
3443851640,1,1,0,0,1,1
3488874287,1,1,0,0,1,1
3512836581,1,1,0,0,1,1
3540153945,1,1,0,0,1,1
3603478241,1,1,0,0,1,1
3652499857,1,1,0,0,1,1
3658029810,1,1,0,0,1,1
3669022182,1,1,0,0,1,1
3697383753,1,1,0,0,1,1
3699166284,1,1,0,0,1,1
3699175834,1,1,0,0,1,1
3781876734,1,1,0,0,1,1
3806199641,1,1,0,0,1,1
3815077818,1,1,0,0,1,1
3849030226,1,1,0,0,1,1
3878180922,1,1,0,0,1,1
3898037768,1,1,0,0,1,1
3911200331,1,1,0,0,1,1
3912707918,1,1,0,0,1,1
3925831483,1,1,0,0,1,1
3956561824,1,1,0,0,1,1
5042240803,1,1,0,0,1,1
5126842016,1,1,0,0,1,1
5170978127,1,1,0,0,1,1
5174377668,1,1,0,0,1,1
5177214158,1,1,0,0,1,1
5190441667,1,1,0,0,1,1
5198647703,1,1,0,0,1,1
5339538657,1,1,0,0,1,1
5361696317,1,1,0,0,1,1
5385579770,1,1,0,0,1,1
5388240201,0,1,0,0,1,1
5395116343,1,1,0,0,1,1
5430446235,1,1,0,0,1,1
5465305079,1,1,0,0,1,1
5500585112,1,1,0,0,1,1
5506132978,1,1,0,0,1,1
5553121725,1,1,0,0,1,1
5559226446,1,1,0,0,1,1
5559804050,1,1,0,0,1,1
5584436562,1,1,0,0,1,1
5611790711,0,1,0,0,1,1
5637718210,1,1,0,0,1,1
5657421525,1,1,0,0,1,1
5763593746,0,1,0,0,1,1
6051496898,0,1,0,0,1,1
6123193266,1,1,0,0,1,1
6167691229,1,1,0,0,1,1
6169387567,1,1,0,0,1,1
6267350071,1,1,0,0,1,1
6285362680,1,1,0,0,1,1
6336558648,1,1,0,0,1,1
6939757328,1,1,0,0,1,1
7206379042,1,1,0,0,1,1
7213742535,1,1,0,0,1,1
7281531303,0,1,0,0,1,1
7472681405,0,1,0,0,1,1
7583528622,0,1,0,0,1,1
7605525382,1,1,0,0,1,1
7615077673,1,1,0,0,1,1
1663884750,0,1,1,0,1,1
1680430844,0,1,1,0,1,1
