user_id,user_verified_type,weibo_type,fans_type,repost_type,like_type,comment_type,weibo_granger,fan_granger,repost_granger,like_granger,comment_granger
1714800385,1,1,1,0,1,0,1,1,1,3,1
1723167603,1,1,1,0,1,0,1,1,1,3,1
1750355192,1,1,1,0,1,0,1,1,1,3,1
1835473531,1,1,1,0,1,0,1,1,1,3,1
1841589395,1,1,1,0,1,0,1,1,1,3,1
1842606855,1,1,1,0,1,0,1,1,1,3,1
1867085277,1,1,1,0,1,0,1,1,1,3,1
1888018193,1,1,1,0,1,0,1,1,1,3,1
1906881261,1,1,1,0,1,0,1,1,1,3,1
1911630795,1,1,1,0,1,0,1,1,1,3,1
1931704477,1,1,1,0,1,0,1,1,1,3,1
1948637954,1,1,1,0,1,0,1,1,1,3,1
2013936642,1,1,1,0,1,0,1,1,1,3,1
2076255252,1,1,1,0,1,0,1,1,1,3,1
2175686497,1,1,1,0,1,0,1,1,1,3,1
2185323034,1,1,1,0,1,0,1,1,1,3,1
2219513610,1,1,1,0,1,0,1,1,1,3,1
2259880587,1,1,1,0,1,0,1,1,1,3,1
2292896411,1,1,1,0,1,0,1,1,1,3,1
2394420684,1,1,1,0,1,0,1,1,1,3,1
2921799343,1,1,1,0,1,0,1,1,1,3,1
6272613173,1,1,1,0,1,0,1,1,1,3,1
6524418706,1,1,1,0,1,0,1,1,1,3,1
6524697382,1,1,1,0,1,0,1,1,1,3,1
6592692916,1,1,1,0,1,0,1,1,1,3,1
7096189920,1,1,1,0,1,0,1,1,1,3,1
7529786157,1,1,1,0,1,0,1,1,1,3,1
1403611582,1,1,2,0,1,0,1,1,1,3,1
1436469813,1,1,2,0,1,0,1,1,1,3,1
1592146353,1,1,2,0,1,0,1,1,1,3,1
1617264814,1,1,2,0,1,0,1,1,1,3,1
1685336690,1,1,2,0,1,0,1,1,1,3,1
1727747885,1,1,2,0,1,0,1,1,1,3,1
1789594967,1,1,2,0,1,0,1,1,1,3,1
1865504713,1,1,2,0,1,0,1,1,1,3,1
1895394815,1,1,2,0,1,0,1,1,1,3,1
1910019822,1,1,2,0,1,0,1,1,1,3,1
1923969675,1,1,2,0,1,0,1,1,1,3,1
1926641510,1,1,2,0,1,0,1,1,1,3,1
2010666107,1,1,2,0,1,0,1,1,1,3,1
2015135187,1,1,2,0,1,0,1,1,1,3,1
2031864307,1,1,2,0,1,0,1,1,1,3,1
2104693617,1,1,2,0,1,0,1,1,1,3,1
2115259662,1,1,2,0,1,0,1,1,1,3,1
2138697305,1,1,2,0,1,0,1,1,1,3,1
2192474323,1,1,2,0,1,0,1,1,1,3,1
2359224985,1,1,2,0,1,0,1,1,1,3,1
2640662852,1,1,2,0,1,0,1,1,1,3,1
3253939390,1,1,2,0,1,0,1,1,1,3,1
